idx,is_inclusive,premise,question,label
496,2,Neither Isham is groggy nor Herschel is not noisy. Isham is not groggy.,Herschel is not noisy,0
497,1,Cordie is not talented or Jorden is not hearty. Cordie is talented.,Cordie is talented,1
498,1,Cordie is not talented or Jorden is not hearty. Cordie is talented.,Cordie is not talented,0
499,1,Cordie is not talented or Jorden is not hearty. Cordie is talented.,Jorden is hearty,0
500,1,Cordie is not talented or Jorden is not hearty. Cordie is talented.,Jorden is not hearty,1
501,1,Bill is not serious or Braden is dutiful. Bill is not serious.,Bill is serious,0
502,1,Bill is not serious or Braden is dutiful. Bill is not serious.,Bill is not serious,1
503,1,Bill is not serious or Braden is dutiful. Bill is not serious.,Braden is dutiful,1
504,1,Bill is not serious or Braden is dutiful. Bill is not serious.,Braden is not dutiful,1
505,1,Isiah is reclusive or Madora is mature. Isiah is not reclusive.,Isiah is reclusive,0
506,1,Isiah is reclusive or Madora is mature. Isiah is not reclusive.,Isiah is not reclusive,1
507,1,Isiah is reclusive or Madora is mature. Isiah is not reclusive.,Madora is mature,1
508,1,Isiah is reclusive or Madora is mature. Isiah is not reclusive.,Madora is not mature,0
509,1,Vito is not stupid or Clement is cool. Clement is cool.,Vito is stupid,1
510,1,Vito is not stupid or Clement is cool. Clement is cool.,Vito is not stupid,1
511,1,Vito is not stupid or Clement is cool. Clement is cool.,Clement is cool,1
512,1,Vito is not stupid or Clement is cool. Clement is cool.,Clement is not cool,0
513,1,Nova is not steady or Penelope is sincere. Penelope is not sincere.,Nova is steady,0
514,1,Nova is not steady or Penelope is sincere. Penelope is not sincere.,Nova is not steady,1
515,1,Nova is not steady or Penelope is sincere. Penelope is not sincere.,Penelope is sincere,0
516,1,Nova is not steady or Penelope is sincere. Penelope is not sincere.,Penelope is not sincere,1
517,2,Neither Odis is not watchful nor Marcella is not unstable. Marcella is unstable.,Odis is watchful,1
518,2,Neither Odis is not watchful nor Marcella is not unstable. Marcella is unstable.,Odis is not watchful,0
519,2,Neither Odis is not watchful nor Marcella is not unstable. Marcella is unstable.,Marcella is unstable,1
520,2,Neither Odis is not watchful nor Marcella is not unstable. Marcella is unstable.,Marcella is not unstable,0
521,0,Either Anna is lovable or David is irascible. Anna is not lovable.,Anna is lovable,0
522,0,Either Anna is lovable or David is irascible. Anna is not lovable.,Anna is not lovable,1
523,0,Either Anna is lovable or David is irascible. Anna is not lovable.,David is irascible,1
524,0,Either Anna is lovable or David is irascible. Anna is not lovable.,David is not irascible,0
525,1,Rafael is deft or Lennie is not touchy. Rafael is deft.,Rafael is deft,1
526,1,Rafael is deft or Lennie is not touchy. Rafael is deft.,Rafael is not deft,0
527,1,Rafael is deft or Lennie is not touchy. Rafael is deft.,Lennie is touchy,1
528,1,Rafael is deft or Lennie is not touchy. Rafael is deft.,Lennie is not touchy,1
529,2,Neither Forrest is content nor Dudley is not funny. Dudley is funny.,Forrest is content,0
530,2,Neither Forrest is content nor Dudley is not funny. Dudley is funny.,Forrest is not content,1
531,2,Neither Forrest is content nor Dudley is not funny. Dudley is funny.,Dudley is funny,1
532,2,Neither Forrest is content nor Dudley is not funny. Dudley is funny.,Dudley is not funny,0
533,2,Neither Ramon is not irritating nor Aletha is hot-headed. Ramon is irritating.,Ramon is irritating,1
534,2,Neither Ramon is not irritating nor Aletha is hot-headed. Ramon is irritating.,Ramon is not irritating,0
535,2,Neither Ramon is not irritating nor Aletha is hot-headed. Ramon is irritating.,Aletha is hot-headed,0
536,2,Neither Ramon is not irritating nor Aletha is hot-headed. Ramon is irritating.,Aletha is not hot-headed,0
537,0,Either Judy is not courageous or Merrill is silly. Judy is courageous.,Judy is courageous,1
538,0,Either Judy is not courageous or Merrill is silly. Judy is courageous.,Judy is not courageous,0
539,0,Either Judy is not courageous or Merrill is silly. Judy is courageous.,Merrill is silly,1
540,0,Either Judy is not courageous or Merrill is silly. Judy is courageous.,Merrill is not silly,0
541,0,Either May is not testy or Brenda is ambitious. Brenda is ambitious.,May is testy,1
542,0,Either May is not testy or Brenda is ambitious. Brenda is ambitious.,May is not testy,0
543,0,Either May is not testy or Brenda is ambitious. Brenda is ambitious.,Brenda is ambitious,1
544,0,Either May is not testy or Brenda is ambitious. Brenda is ambitious.,Brenda is not ambitious,0
545,0,Either Bette is confused or Alva is watchful. Alva is watchful.,Bette is confused,0
546,0,Either Bette is confused or Alva is watchful. Alva is watchful.,Bette is not confused,1
547,0,Either Bette is confused or Alva is watchful. Alva is watchful.,Alva is watchful,1
548,0,Either Bette is confused or Alva is watchful. Alva is watchful.,Alva is not watchful,0
549,2,Neither Verna is not cranky nor Rodger is discreet. Rodger is not discreet.,Verna is cranky,0
550,2,Neither Verna is not cranky nor Rodger is discreet. Rodger is not discreet.,Verna is not cranky,1
551,2,Neither Verna is not cranky nor Rodger is discreet. Rodger is not discreet.,Rodger is discreet,1
552,2,Neither Verna is not cranky nor Rodger is discreet. Rodger is not discreet.,Rodger is not discreet,0
553,1,Gaylon is not local or Garnet is not reassuring. Gaylon is local.,Gaylon is local,1
554,1,Gaylon is not local or Garnet is not reassuring. Gaylon is local.,Gaylon is not local,0
555,1,Gaylon is not local or Garnet is not reassuring. Gaylon is local.,Garnet is reassuring,0
556,1,Gaylon is not local or Garnet is not reassuring. Gaylon is local.,Garnet is not reassuring,1
557,0,Either Arturo is not surly or Eileen is competent. Eileen is competent.,Arturo is surly,1
558,0,Either Arturo is not surly or Eileen is competent. Eileen is competent.,Arturo is not surly,0
559,0,Either Arturo is not surly or Eileen is competent. Eileen is competent.,Eileen is competent,1
560,0,Either Arturo is not surly or Eileen is competent. Eileen is competent.,Eileen is not competent,0
561,0,Either Lauren is reliable or Karen is agreeable. Karen is agreeable.,Lauren is reliable,0
562,0,Either Lauren is reliable or Karen is agreeable. Karen is agreeable.,Lauren is not reliable,1
563,0,Either Lauren is reliable or Karen is agreeable. Karen is agreeable.,Karen is agreeable,1
564,0,Either Lauren is reliable or Karen is agreeable. Karen is agreeable.,Karen is not agreeable,0
565,1,Augustus is not exacting or Kelly is not fervent. Augustus is exacting.,Augustus is exacting,1
566,1,Augustus is not exacting or Kelly is not fervent. Augustus is exacting.,Augustus is not exacting,0
567,1,Augustus is not exacting or Kelly is not fervent. Augustus is exacting.,Kelly is fervent,0
568,1,Augustus is not exacting or Kelly is not fervent. Augustus is exacting.,Kelly is not fervent,1
569,0,Either Dick is not popular or Raleigh is not normal. Raleigh is not normal.,Dick is popular,1
570,0,Either Dick is not popular or Raleigh is not normal. Raleigh is not normal.,Dick is not popular,0
571,0,Either Dick is not popular or Raleigh is not normal. Raleigh is not normal.,Raleigh is normal,0
572,0,Either Dick is not popular or Raleigh is not normal. Raleigh is not normal.,Raleigh is not normal,1
573,0,Either Lawerence is not amazing or Waylon is judgmental. Lawerence is amazing.,Lawerence is amazing,1
574,0,Either Lawerence is not amazing or Waylon is judgmental. Lawerence is amazing.,Lawerence is not amazing,0
575,0,Either Lawerence is not amazing or Waylon is judgmental. Lawerence is amazing.,Waylon is judgmental,1
576,0,Either Lawerence is not amazing or Waylon is judgmental. Lawerence is amazing.,Waylon is not judgmental,0
577,1,Ophelia is confident or Robbie is not punctual. Ophelia is confident.,Ophelia is confident,1
578,1,Ophelia is confident or Robbie is not punctual. Ophelia is confident.,Ophelia is not confident,0
579,1,Ophelia is confident or Robbie is not punctual. Ophelia is confident.,Robbie is punctual,1
580,1,Ophelia is confident or Robbie is not punctual. Ophelia is confident.,Robbie is not punctual,1
581,0,Either Edgar is meddlesome or Abner is not modest. Abner is modest.,Edgar is meddlesome,1
582,0,Either Edgar is meddlesome or Abner is not modest. Abner is modest.,Edgar is not meddlesome,0
583,0,Either Edgar is meddlesome or Abner is not modest. Abner is modest.,Abner is modest,1
584,0,Either Edgar is meddlesome or Abner is not modest. Abner is modest.,Abner is not modest,0
585,0,Either Fredrick is not sour or Dallas is not amiable. Dallas is not amiable.,Fredrick is sour,1
586,0,Either Fredrick is not sour or Dallas is not amiable. Dallas is not amiable.,Fredrick is not sour,0
587,0,Either Fredrick is not sour or Dallas is not amiable. Dallas is not amiable.,Dallas is amiable,0
588,0,Either Fredrick is not sour or Dallas is not amiable. Dallas is not amiable.,Dallas is not amiable,1
589,0,Either Jordan is lean or Louie is not meticulous. Louie is meticulous.,Jordan is lean,1
590,0,Either Jordan is lean or Louie is not meticulous. Louie is meticulous.,Jordan is not lean,0
591,0,Either Jordan is lean or Louie is not meticulous. Louie is meticulous.,Louie is meticulous,1
592,0,Either Jordan is lean or Louie is not meticulous. Louie is meticulous.,Louie is not meticulous,0
593,0,Either Eugene is not staid or Braylon is querulous. Braylon is not querulous.,Eugene is staid,0
594,0,Either Eugene is not staid or Braylon is querulous. Braylon is not querulous.,Eugene is not staid,1
595,0,Either Eugene is not staid or Braylon is querulous. Braylon is not querulous.,Braylon is querulous,0
596,0,Either Eugene is not staid or Braylon is querulous. Braylon is not querulous.,Braylon is not querulous,1
597,0,Either Noe is not versatile or Benjamine is not petulant. Benjamine is not petulant.,Noe is versatile,1
598,0,Either Noe is not versatile or Benjamine is not petulant. Benjamine is not petulant.,Noe is not versatile,0
599,0,Either Noe is not versatile or Benjamine is not petulant. Benjamine is not petulant.,Benjamine is petulant,0
600,0,Either Noe is not versatile or Benjamine is not petulant. Benjamine is not petulant.,Benjamine is not petulant,1
601,0,Either Jeannine is not tactless or Aileen is resigned. Jeannine is not tactless.,Jeannine is tactless,0
602,0,Either Jeannine is not tactless or Aileen is resigned. Jeannine is not tactless.,Jeannine is not tactless,1
603,0,Either Jeannine is not tactless or Aileen is resigned. Jeannine is not tactless.,Aileen is resigned,0
604,0,Either Jeannine is not tactless or Aileen is resigned. Jeannine is not tactless.,Aileen is not resigned,1
605,1,Enrique is not clever or Brent is sleepy. Enrique is clever.,Enrique is clever,1
606,1,Enrique is not clever or Brent is sleepy. Enrique is clever.,Enrique is not clever,0
607,1,Enrique is not clever or Brent is sleepy. Enrique is clever.,Brent is sleepy,1
608,1,Enrique is not clever or Brent is sleepy. Enrique is clever.,Brent is not sleepy,0
609,0,Either Laurel is unstable or Johnnie is not moronic. Johnnie is moronic.,Laurel is unstable,1
610,0,Either Laurel is unstable or Johnnie is not moronic. Johnnie is moronic.,Laurel is not unstable,0
611,0,Either Laurel is unstable or Johnnie is not moronic. Johnnie is moronic.,Johnnie is moronic,1
612,0,Either Laurel is unstable or Johnnie is not moronic. Johnnie is moronic.,Johnnie is not moronic,0
613,1,Erik is not generous or Elvera is resentful. Elvera is not resentful.,Erik is generous,0
614,1,Erik is not generous or Elvera is resentful. Elvera is not resentful.,Erik is not generous,1
615,1,Erik is not generous or Elvera is resentful. Elvera is not resentful.,Elvera is resentful,0
616,1,Erik is not generous or Elvera is resentful. Elvera is not resentful.,Elvera is not resentful,1
617,2,Neither Terrell is callous nor Cynthia is delightful. Cynthia is not delightful.,Terrell is callous,0
618,2,Neither Terrell is callous nor Cynthia is delightful. Cynthia is not delightful.,Terrell is not callous,1
619,2,Neither Terrell is callous nor Cynthia is delightful. Cynthia is not delightful.,Cynthia is delightful,0
620,2,Neither Terrell is callous nor Cynthia is delightful. Cynthia is not delightful.,Cynthia is not delightful,1
621,1,Meyer is brilliant or Hermon is gluttonous. Hermon is gluttonous.,Meyer is brilliant,1
622,1,Meyer is brilliant or Hermon is gluttonous. Hermon is gluttonous.,Meyer is not brilliant,1
623,1,Meyer is brilliant or Hermon is gluttonous. Hermon is gluttonous.,Hermon is gluttonous,1
624,1,Meyer is brilliant or Hermon is gluttonous. Hermon is gluttonous.,Hermon is not gluttonous,0
625,1,Leroy is querulous or Vincent is not cruel. Vincent is not cruel.,Leroy is querulous,1
626,1,Leroy is querulous or Vincent is not cruel. Vincent is not cruel.,Leroy is not querulous,1
627,1,Leroy is querulous or Vincent is not cruel. Vincent is not cruel.,Vincent is cruel,0
628,1,Leroy is querulous or Vincent is not cruel. Vincent is not cruel.,Vincent is not cruel,1
629,0,Either Retta is peaceful or Edgar is outspoken. Retta is not peaceful.,Retta is peaceful,0
630,0,Either Retta is peaceful or Edgar is outspoken. Retta is not peaceful.,Retta is not peaceful,1
631,0,Either Retta is peaceful or Edgar is outspoken. Retta is not peaceful.,Edgar is outspoken,1
632,0,Either Retta is peaceful or Edgar is outspoken. Retta is not peaceful.,Edgar is not outspoken,0
633,2,Neither Jaime is outspoken nor Arne is not plain. Arne is plain.,Jaime is outspoken,0
634,2,Neither Jaime is outspoken nor Arne is not plain. Arne is plain.,Jaime is not outspoken,1
635,2,Neither Jaime is outspoken nor Arne is not plain. Arne is plain.,Arne is plain,1
636,2,Neither Jaime is outspoken nor Arne is not plain. Arne is plain.,Arne is not plain,0
637,1,Leland is dreary or Juliette is distraught. Leland is not dreary.,Leland is dreary,0
638,1,Leland is dreary or Juliette is distraught. Leland is not dreary.,Leland is not dreary,1
639,1,Leland is dreary or Juliette is distraught. Leland is not dreary.,Juliette is distraught,1
640,1,Leland is dreary or Juliette is distraught. Leland is not dreary.,Juliette is not distraught,0
641,1,Ruth is gloomy or Isadore is bright. Isadore is bright.,Ruth is gloomy,1
642,1,Ruth is gloomy or Isadore is bright. Isadore is bright.,Ruth is not gloomy,1
643,1,Ruth is gloomy or Isadore is bright. Isadore is bright.,Isadore is bright,1
644,1,Ruth is gloomy or Isadore is bright. Isadore is bright.,Isadore is not bright,0
645,1,Louie is not clumsy or Keenan is not thinking. Keenan is not thinking.,Louie is clumsy,1
646,1,Louie is not clumsy or Keenan is not thinking. Keenan is not thinking.,Louie is not clumsy,1
647,1,Louie is not clumsy or Keenan is not thinking. Keenan is not thinking.,Keenan is thinking,0
648,1,Louie is not clumsy or Keenan is not thinking. Keenan is not thinking.,Keenan is not thinking,1
649,1,Kendra is unbalanced or Shamar is steady. Shamar is steady.,Kendra is unbalanced,1
650,1,Kendra is unbalanced or Shamar is steady. Shamar is steady.,Kendra is not unbalanced,1
651,1,Kendra is unbalanced or Shamar is steady. Shamar is steady.,Shamar is steady,1
652,1,Kendra is unbalanced or Shamar is steady. Shamar is steady.,Shamar is not steady,0
653,2,Neither Loraine is not suspicious nor Rodney is not composed. Loraine is suspicious.,Loraine is suspicious,1
654,2,Neither Loraine is not suspicious nor Rodney is not composed. Loraine is suspicious.,Loraine is not suspicious,0
655,2,Neither Loraine is not suspicious nor Rodney is not composed. Loraine is suspicious.,Rodney is composed,1
656,2,Neither Loraine is not suspicious nor Rodney is not composed. Loraine is suspicious.,Rodney is not composed,0
657,1,Jeff is not slovenly or Ross is not caustic. Jeff is not slovenly.,Jeff is slovenly,0
658,1,Jeff is not slovenly or Ross is not caustic. Jeff is not slovenly.,Jeff is not slovenly,1
659,1,Jeff is not slovenly or Ross is not caustic. Jeff is not slovenly.,Ross is caustic,1
660,1,Jeff is not slovenly or Ross is not caustic. Jeff is not slovenly.,Ross is not caustic,1
661,1,Osvaldo is tolerant or Thad is not alert. Osvaldo is tolerant.,Osvaldo is tolerant,1
662,1,Osvaldo is tolerant or Thad is not alert. Osvaldo is tolerant.,Osvaldo is not tolerant,0
663,1,Osvaldo is tolerant or Thad is not alert. Osvaldo is tolerant.,Thad is alert,1
664,1,Osvaldo is tolerant or Thad is not alert. Osvaldo is tolerant.,Thad is not alert,1
665,2,Neither Denver is not dramatic nor Larry is drowsy. Denver is dramatic.,Denver is dramatic,1
666,2,Neither Denver is not dramatic nor Larry is drowsy. Denver is dramatic.,Denver is not dramatic,0
667,2,Neither Denver is not dramatic nor Larry is drowsy. Denver is dramatic.,Larry is drowsy,0
668,2,Neither Denver is not dramatic nor Larry is drowsy. Denver is dramatic.,Larry is not drowsy,0
669,0,Either Bryant is not restless or Artie is awesome. Bryant is restless.,Bryant is restless,1
670,0,Either Bryant is not restless or Artie is awesome. Bryant is restless.,Bryant is not restless,0
671,0,Either Bryant is not restless or Artie is awesome. Bryant is restless.,Artie is awesome,1
672,0,Either Bryant is not restless or Artie is awesome. Bryant is restless.,Artie is not awesome,0
673,1,Maggie is not subtle or Eliezer is dainty. Maggie is subtle.,Maggie is subtle,1
674,1,Maggie is not subtle or Eliezer is dainty. Maggie is subtle.,Maggie is not subtle,0
675,1,Maggie is not subtle or Eliezer is dainty. Maggie is subtle.,Eliezer is dainty,1
676,1,Maggie is not subtle or Eliezer is dainty. Maggie is subtle.,Eliezer is not dainty,0
677,0,Either Harvey is not reliable or Tommy is not buff. Harvey is reliable.,Harvey is reliable,1
678,0,Either Harvey is not reliable or Tommy is not buff. Harvey is reliable.,Harvey is not reliable,0
679,0,Either Harvey is not reliable or Tommy is not buff. Harvey is reliable.,Tommy is buff,0
680,0,Either Harvey is not reliable or Tommy is not buff. Harvey is reliable.,Tommy is not buff,1
681,0,Either Eleanor is not practical or Duncan is slight. Duncan is slight.,Eleanor is practical,1
682,0,Either Eleanor is not practical or Duncan is slight. Duncan is slight.,Eleanor is not practical,0
683,0,Either Eleanor is not practical or Duncan is slight. Duncan is slight.,Duncan is slight,1
684,0,Either Eleanor is not practical or Duncan is slight. Duncan is slight.,Duncan is not slight,0
685,0,Either Eleanora is staid or Joy is negative. Eleanora is staid.,Eleanora is staid,1
686,0,Either Eleanora is staid or Joy is negative. Eleanora is staid.,Eleanora is not staid,0
687,0,Either Eleanora is staid or Joy is negative. Eleanora is staid.,Joy is negative,0
688,0,Either Eleanora is staid or Joy is negative. Eleanora is staid.,Joy is not negative,1
689,0,Either Deidre is silly or Milton is not methodical. Milton is not methodical.,Deidre is silly,0
690,0,Either Deidre is silly or Milton is not methodical. Milton is not methodical.,Deidre is not silly,1
691,0,Either Deidre is silly or Milton is not methodical. Milton is not methodical.,Milton is methodical,0
692,0,Either Deidre is silly or Milton is not methodical. Milton is not methodical.,Milton is not methodical,1
693,2,Neither Mortimer is cautious nor Mallie is not unaffected. Mallie is unaffected.,Mortimer is cautious,0
694,2,Neither Mortimer is cautious nor Mallie is not unaffected. Mallie is unaffected.,Mortimer is not cautious,1
695,2,Neither Mortimer is cautious nor Mallie is not unaffected. Mallie is unaffected.,Mallie is unaffected,1
696,2,Neither Mortimer is cautious nor Mallie is not unaffected. Mallie is unaffected.,Mallie is not unaffected,0
697,2,Neither Norris is not tranquil nor Alvaro is immodest. Norris is tranquil.,Norris is tranquil,1
698,2,Neither Norris is not tranquil nor Alvaro is immodest. Norris is tranquil.,Norris is not tranquil,0
699,2,Neither Norris is not tranquil nor Alvaro is immodest. Norris is tranquil.,Alvaro is immodest,0
700,2,Neither Norris is not tranquil nor Alvaro is immodest. Norris is tranquil.,Alvaro is not immodest,0
701,1,Verne is grouchy or Burt is obliging. Verne is grouchy.,Verne is grouchy,1
702,1,Verne is grouchy or Burt is obliging. Verne is grouchy.,Verne is not grouchy,0
703,1,Verne is grouchy or Burt is obliging. Verne is grouchy.,Burt is obliging,1
704,1,Verne is grouchy or Burt is obliging. Verne is grouchy.,Burt is not obliging,1
705,0,Either Ruthe is excitable or Elnora is not outgoing. Elnora is not outgoing.,Ruthe is excitable,0
706,0,Either Ruthe is excitable or Elnora is not outgoing. Elnora is not outgoing.,Ruthe is not excitable,1
707,0,Either Ruthe is excitable or Elnora is not outgoing. Elnora is not outgoing.,Elnora is outgoing,0
708,0,Either Ruthe is excitable or Elnora is not outgoing. Elnora is not outgoing.,Elnora is not outgoing,1
709,0,Either Alda is unaffected or Darrell is sincere. Darrell is sincere.,Alda is unaffected,0
710,0,Either Alda is unaffected or Darrell is sincere. Darrell is sincere.,Alda is not unaffected,1
711,0,Either Alda is unaffected or Darrell is sincere. Darrell is sincere.,Darrell is sincere,1
712,0,Either Alda is unaffected or Darrell is sincere. Darrell is sincere.,Darrell is not sincere,0
713,1,Glenn is jovial or Yair is testy. Glenn is not jovial.,Glenn is jovial,0
714,1,Glenn is jovial or Yair is testy. Glenn is not jovial.,Glenn is not jovial,1
715,1,Glenn is jovial or Yair is testy. Glenn is not jovial.,Yair is testy,1
716,1,Glenn is jovial or Yair is testy. Glenn is not jovial.,Yair is not testy,0
717,0,Either Myrtice is not able or Ava is not sassy. Myrtice is able.,Myrtice is able,1
718,0,Either Myrtice is not able or Ava is not sassy. Myrtice is able.,Myrtice is not able,0
719,0,Either Myrtice is not able or Ava is not sassy. Myrtice is able.,Ava is sassy,0
720,0,Either Myrtice is not able or Ava is not sassy. Myrtice is able.,Ava is not sassy,1
721,2,Neither Rubye is not quiet nor Alma is not practical. Rubye is quiet.,Rubye is quiet,1
722,2,Neither Rubye is not quiet nor Alma is not practical. Rubye is quiet.,Rubye is not quiet,0
723,2,Neither Rubye is not quiet nor Alma is not practical. Rubye is quiet.,Alma is practical,1
724,2,Neither Rubye is not quiet nor Alma is not practical. Rubye is quiet.,Alma is not practical,0
725,2,Neither Kevin is sassy nor Keith is steady. Keith is not steady.,Kevin is sassy,0
726,2,Neither Kevin is sassy nor Keith is steady. Keith is not steady.,Kevin is not sassy,1
727,2,Neither Kevin is sassy nor Keith is steady. Keith is not steady.,Keith is steady,0
728,2,Neither Kevin is sassy nor Keith is steady. Keith is not steady.,Keith is not steady,1
729,1,Alberta is volcanic or Lollie is crabby. Alberta is volcanic.,Alberta is volcanic,1
730,1,Alberta is volcanic or Lollie is crabby. Alberta is volcanic.,Alberta is not volcanic,0
731,1,Alberta is volcanic or Lollie is crabby. Alberta is volcanic.,Lollie is crabby,1
732,1,Alberta is volcanic or Lollie is crabby. Alberta is volcanic.,Lollie is not crabby,1
733,0,Either Inez is balanced or Ottie is reluctant. Ottie is reluctant.,Inez is balanced,0
734,0,Either Inez is balanced or Ottie is reluctant. Ottie is reluctant.,Inez is not balanced,1
735,0,Either Inez is balanced or Ottie is reluctant. Ottie is reluctant.,Ottie is reluctant,1
736,0,Either Inez is balanced or Ottie is reluctant. Ottie is reluctant.,Ottie is not reluctant,0
737,0,Either Johnie is not tactless or Emery is demonic. Johnie is not tactless.,Johnie is tactless,0
738,0,Either Johnie is not tactless or Emery is demonic. Johnie is not tactless.,Johnie is not tactless,1
739,0,Either Johnie is not tactless or Emery is demonic. Johnie is not tactless.,Emery is demonic,0
740,0,Either Johnie is not tactless or Emery is demonic. Johnie is not tactless.,Emery is not demonic,1
741,2,Neither Chalmer is sweet nor Bryant is not childish. Chalmer is not sweet.,Chalmer is sweet,0
742,2,Neither Chalmer is sweet nor Bryant is not childish. Chalmer is not sweet.,Chalmer is not sweet,1
743,2,Neither Chalmer is sweet nor Bryant is not childish. Chalmer is not sweet.,Bryant is childish,1
744,2,Neither Chalmer is sweet nor Bryant is not childish. Chalmer is not sweet.,Bryant is not childish,0
745,2,Neither Russel is alert nor Edd is not depressed. Russel is not alert.,Russel is alert,0
746,2,Neither Russel is alert nor Edd is not depressed. Russel is not alert.,Russel is not alert,1
747,2,Neither Russel is alert nor Edd is not depressed. Russel is not alert.,Edd is depressed,1
748,2,Neither Russel is alert nor Edd is not depressed. Russel is not alert.,Edd is not depressed,0
749,0,Either Carol is flaky or Delbert is not abnormal. Delbert is abnormal.,Carol is flaky,1
750,0,Either Carol is flaky or Delbert is not abnormal. Delbert is abnormal.,Carol is not flaky,0
751,0,Either Carol is flaky or Delbert is not abnormal. Delbert is abnormal.,Delbert is abnormal,1
752,0,Either Carol is flaky or Delbert is not abnormal. Delbert is abnormal.,Delbert is not abnormal,0
753,1,Peyton is balanced or Inez is idiotic. Inez is not idiotic.,Peyton is balanced,1
754,1,Peyton is balanced or Inez is idiotic. Inez is not idiotic.,Peyton is not balanced,0
755,1,Peyton is balanced or Inez is idiotic. Inez is not idiotic.,Inez is idiotic,0
756,1,Peyton is balanced or Inez is idiotic. Inez is not idiotic.,Inez is not idiotic,1
757,1,Deondre is not reassuring or Berneice is not paternal. Deondre is reassuring.,Deondre is reassuring,1
758,1,Deondre is not reassuring or Berneice is not paternal. Deondre is reassuring.,Deondre is not reassuring,0
759,1,Deondre is not reassuring or Berneice is not paternal. Deondre is reassuring.,Berneice is paternal,0
760,1,Deondre is not reassuring or Berneice is not paternal. Deondre is reassuring.,Berneice is not paternal,1
761,0,Either Hester is obnoxious or Christopher is not lovable. Hester is not obnoxious.,Hester is obnoxious,0
762,0,Either Hester is obnoxious or Christopher is not lovable. Hester is not obnoxious.,Hester is not obnoxious,1
763,0,Either Hester is obnoxious or Christopher is not lovable. Hester is not obnoxious.,Christopher is lovable,0
764,0,Either Hester is obnoxious or Christopher is not lovable. Hester is not obnoxious.,Christopher is not lovable,1
765,1,Leatrice is unwilling or Orvil is not dainty. Leatrice is not unwilling.,Leatrice is unwilling,0
766,1,Leatrice is unwilling or Orvil is not dainty. Leatrice is not unwilling.,Leatrice is not unwilling,1
767,1,Leatrice is unwilling or Orvil is not dainty. Leatrice is not unwilling.,Orvil is dainty,0
768,1,Leatrice is unwilling or Orvil is not dainty. Leatrice is not unwilling.,Orvil is not dainty,1
769,1,Courtney is discreet or Rene is tired. Courtney is not discreet.,Courtney is discreet,0
770,1,Courtney is discreet or Rene is tired. Courtney is not discreet.,Courtney is not discreet,1
771,1,Courtney is discreet or Rene is tired. Courtney is not discreet.,Rene is tired,1
772,1,Courtney is discreet or Rene is tired. Courtney is not discreet.,Rene is not tired,0
773,2,Neither Dora is not strong nor Lady is noisy. Lady is not noisy.,Dora is strong,0
774,2,Neither Dora is not strong nor Lady is noisy. Lady is not noisy.,Dora is not strong,1
775,2,Neither Dora is not strong nor Lady is noisy. Lady is not noisy.,Lady is noisy,1
776,2,Neither Dora is not strong nor Lady is noisy. Lady is not noisy.,Lady is not noisy,0
777,1,Hilda is not subtle or Berenice is not one-sided. Berenice is not one-sided.,Hilda is subtle,1
778,1,Hilda is not subtle or Berenice is not one-sided. Berenice is not one-sided.,Hilda is not subtle,1
779,1,Hilda is not subtle or Berenice is not one-sided. Berenice is not one-sided.,Berenice is one-sided,0
780,1,Hilda is not subtle or Berenice is not one-sided. Berenice is not one-sided.,Berenice is not one-sided,1
781,1,Anne is not cold or Micheal is elfin. Micheal is not elfin.,Anne is cold,0
782,1,Anne is not cold or Micheal is elfin. Micheal is not elfin.,Anne is not cold,1
783,1,Anne is not cold or Micheal is elfin. Micheal is not elfin.,Micheal is elfin,0
784,1,Anne is not cold or Micheal is elfin. Micheal is not elfin.,Micheal is not elfin,1
785,0,Either Rae is not surly or Richie is decisive. Richie is not decisive.,Rae is surly,0
786,0,Either Rae is not surly or Richie is decisive. Richie is not decisive.,Rae is not surly,1
787,0,Either Rae is not surly or Richie is decisive. Richie is not decisive.,Richie is decisive,0
788,0,Either Rae is not surly or Richie is decisive. Richie is not decisive.,Richie is not decisive,1
789,1,Elisha is direct or Easton is not beneficent. Elisha is direct.,Elisha is direct,1
790,1,Elisha is direct or Easton is not beneficent. Elisha is direct.,Elisha is not direct,0
791,1,Elisha is direct or Easton is not beneficent. Elisha is direct.,Easton is beneficent,1
792,1,Elisha is direct or Easton is not beneficent. Elisha is direct.,Easton is not beneficent,1
793,0,Either Vester is not clumsy or Claudine is watchful. Vester is not clumsy.,Vester is clumsy,0
794,0,Either Vester is not clumsy or Claudine is watchful. Vester is not clumsy.,Vester is not clumsy,1
795,0,Either Vester is not clumsy or Claudine is watchful. Vester is not clumsy.,Claudine is watchful,0
796,0,Either Vester is not clumsy or Claudine is watchful. Vester is not clumsy.,Claudine is not watchful,1
797,1,Corrie is warm or Vergie is not irritable. Corrie is warm.,Corrie is warm,1
798,1,Corrie is warm or Vergie is not irritable. Corrie is warm.,Corrie is not warm,0
799,1,Corrie is warm or Vergie is not irritable. Corrie is warm.,Vergie is irritable,1
800,1,Corrie is warm or Vergie is not irritable. Corrie is warm.,Vergie is not irritable,1
801,2,Neither Alan is not irritable nor Reagan is distraught. Reagan is not distraught.,Alan is irritable,0
802,2,Neither Alan is not irritable nor Reagan is distraught. Reagan is not distraught.,Alan is not irritable,1
